file,year,month,sheet6_title,label_row115_BtoG,art_407_I115,label115_mentions_407,label_row116_BtoG,art_408_I116,label116_mentions_408,title_sanity_ok,error
Forma_1_serpen_2022.xlsx,2022,8,"Розділ 5. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Національним антикорупційним бюро України",,,False,,,False,False,
Forma_1_serpen_2025.xlsx,2025,8,"Розділ 5. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Національним антикорупційним бюро України",,,False,,,False,False,
Forma_1_sichen-cherven_2024.xlsx,2024,6,"Розділ 5. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Національним антикорупційним бюро України",,,False,,,False,False,
Forma_1_sichen-kviten_2025.xlsx,2025,1,"Розділ 5. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Національним антикорупційним бюро України",,,False,,,False,False,
Forma_1_sichen-listopad_2023.xlsx,2023,11,"Розділ 5. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Національним антикорупційним бюро України",,,False,,,False,False,
Forma_1_sichen_-_berezen_2024 (1).xlsx,2024,3,"Розділ 5. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Національним антикорупційним бюро України",,,False,,,False,False,
Forma_1_sichen_-_berezen_2024.xlsx,2024,3,"Розділ 5. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Національним антикорупційним бюро України",,,False,,,False,False,
Forma_1_sichen_-_berezen_2025.xlsx,2025,3,"Розділ 5. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Національним антикорупційним бюро України",,,False,,,False,False,
Forma_1_sichen_-_cherven_2023.xlsx,2023,6,"Розділ 5. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Національним антикорупційним бюро України",,,False,,,False,False,
Forma_1_sichen_-_gruden_2024.xlsx,2024,1,"Розділ 5. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Національним антикорупційним бюро України",,,False,,,False,False,
Forma_1_sichen_-_jovten_2023.xlsx,2023,1,"Розділ 5. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Національним антикорупційним бюро України",,,False,,,False,False,
Forma_1_sichen_-_jovten_2024.xlsx,2024,1,"Розділ 5. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Національним антикорупційним бюро України",,,False,,,False,False,
Forma_1_sichen_-_kviten_2024.xlsx,2024,1,"Розділ 5. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Національним антикорупційним бюро України",,,False,,,False,False,
Forma_1_sichen_-_lipen_2024.xlsx,2024,1,"Розділ 5. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Національним антикорупційним бюро України",,,False,,,False,False,
Forma_1_sichen_-_listopad_2024.xlsx,2024,11,"Розділ 5. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Національним антикорупційним бюро України",,,False,,,False,False,
Forma_1_sichen_-_lyutiy_2023.xlsx,2023,1,"Розділ 5. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Національним антикорупційним бюро України",,,False,,,False,False,
Forma_1_sichen_-_lyutiy_2024.xlsx,2024,1,"Розділ 5. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Національним антикорупційним бюро України",,,False,,,False,False,
Forma_1_sichen_-_lyutiy_2025.xlsx,2025,1,"Розділ 5. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Національним антикорупційним бюро України",,,False,,,False,False,
Forma_1_sichen_-_serpen_2023.xlsx,2023,1,"Розділ 5. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Національним антикорупційним бюро України",,,False,,,False,False,
Forma_1_sichen_-_serpen_2024.xlsx,2024,1,"Розділ 5. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Національним антикорупційним бюро України",,,False,,,False,False,
Forma_1_sichen_-_traven_2023.xlsx,2023,1,"Розділ 5. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Національним антикорупційним бюро України",,,False,,,False,False,
Forma_1_sichen_-_traven_2024.xlsx,2024,1,"Розділ 5. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Національним антикорупційним бюро України",,,False,,,False,False,
Forma_1_sichen_-_veresen_2023.xlsx,2023,9,"Розділ 5. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Національним антикорупційним бюро України",,,False,,,False,False,
Forma_1_sichen_-_veresen_2024_roku.xlsx,2024,9,"Розділ 5. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Національним антикорупційним бюро України",,,False,,,False,False,
Forma_1_sichen_2022.xlsx,2022,1,"Розділ 5. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Національним антикорупційним бюро України",,,False,,,False,False,
Forma_1_sichen_2023.xlsx,2023,1,"Розділ 5. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Національним антикорупційним бюро України",,,False,,,False,False,
Forma_1_sichen_2024.xlsx,2024,1,"Розділ 5. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Національним антикорупційним бюро України",,,False,,,False,False,
Forma_1_sichen_2025.xlsx,2025,1,"Розділ 5. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Національним антикорупційним бюро України",,,False,,,False,False,
Forma_1_traven_2022.xlsx,2022,5,"Розділ 5. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Національним антикорупційним бюро України",,,False,,,False,False,
Forma_1_traven_2025.xlsx,2025,5,"Розділ 5. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Національним антикорупційним бюро України",,,False,,,False,False,
Forma_1_veresen_2022.xlsx,2022,9,"Розділ 5. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Національним антикорупційним бюро України",,,False,,,False,False,
